model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
timm/mobilenetv3_small_100.lamb_in1k,22936709,96,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,2554968,<100M,2022-12-16T05:38:36.000Z,2025-10-19T16:12:11.000Z
Falconsai/nsfw_image_detection,8161346,1146,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2010.11929,85800194,<100M,2023-10-13T23:50:01.000Z,2025-04-06T13:42:07.000Z
dima806/fairface_age_image_detection,6029886,76,image-classification,Image Classification,transformers,"safetensors, transformers",apache-2.0,,85805577,<100M,2024-12-06T14:59:20.000Z,2024-12-15T19:54:53.000Z
google/vit-base-patch16-224,4709445,985,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2010.11929,86567656,<100M,2022-03-02T23:29:05.000Z,2023-09-05T15:27:12.000Z
timm/resnet50.a1_in1k,3055987,43,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,25610152,<100M,2023-04-05T18:07:45.000Z,2025-07-11T18:17:03.000Z
timm/resnet18.a1_in1k,1900946,14,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,11699112,<100M,2023-04-05T18:02:50.000Z,2025-01-21T21:13:50.000Z
rizvandwiki/gender-classification,1518705,60,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",,,85800194,<100M,2022-12-06T08:53:43.000Z,2023-05-18T11:16:33.000Z
timm/tf_efficientnetv2_s.in21k_ft_in1k,1211232,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2104.00298,21612360,<100M,2022-12-13T00:19:21.000Z,2025-01-21T18:20:45.000Z
timm/efficientnet_b0.ra_in1k,1035400,10,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,5330564,<100M,2022-12-12T23:52:52.000Z,2025-01-21T18:16:51.000Z
microsoft/resnet-50,970027,498,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,1512.03385,25610152,<100M,2022-03-16T15:42:43.000Z,2024-02-13T21:24:05.000Z
amunchet/rorshark-vit-base,969850,3,image-classification,Image Classification,transformers,"safetensors, transformers",apache-2.0,,85800194,<100M,2023-11-18T20:49:21.000Z,2023-11-18T20:58:42.000Z
AdamCodd/vit-base-nsfw-detector,647654,81,image-classification,Image Classification,transformers.js,"onnx, safetensors, transformers, transformers.js",apache-2.0,,86092034,<100M,2024-01-03T20:10:17.000Z,2024-12-03T14:14:31.000Z
nvidia/mit-b2,618918,7,image-classification,Image Classification,transformers,"pytorch, transformers",other,2105.15203,,Unknown,2022-03-02T23:29:05.000Z,2022-08-06T10:26:08.000Z
timm/repvgg_a0.rvgg_in1k,581456,1,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2101.03697,9132616,<100M,2023-08-23T19:28:13.000Z,2025-01-21T21:10:22.000Z
timm/wide_resnet50_2.racm_in1k,573555,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,68951464,<100M,2023-04-05T20:38:52.000Z,2025-01-21T21:45:51.000Z
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,530298,13,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,86567656,<100M,2022-12-22T07:24:28.000Z,2025-01-20T16:09:05.000Z
timm/convnext_tiny.in12k_ft_in1k,488120,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,28589128,<100M,2023-01-11T22:35:26.000Z,2025-01-21T21:16:24.000Z
Freepik/nsfw_image_detector,480329,60,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",mit,2303.11331,86351620,<100M,2025-04-10T08:59:44.000Z,2025-05-09T09:04:50.000Z
timm/resnet34.a1_in1k,462817,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,21814696,<100M,2023-04-05T18:05:32.000Z,2025-01-21T21:39:27.000Z
microsoft/swinv2-tiny-patch4-window16-256,424001,14,image-classification,Image Classification,transformers,"pytorch, transformers",apache-2.0,2111.09883,,Unknown,2022-06-14T06:17:52.000Z,2022-12-10T10:09:55.000Z
timm/vit_base_patch8_224.augreg2_in21k_ft_in1k,408231,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,86576872,<100M,2022-12-22T07:22:31.000Z,2025-01-21T19:14:27.000Z
timm/convnext_femto.d1_in1k,407459,1,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,5217784,<100M,2022-12-13T07:08:14.000Z,2025-01-21T21:14:12.000Z
buildborderless/CommunityForensics-DeepfakeDet-ViT,399659,15,image-classification,Image Classification,transformers,"safetensors, transformers",mit,2411.04125,35986562,<100M,2025-02-23T11:03:50.000Z,2026-07-21T23:48:52.000Z
timm/efficientnet_b2.ra_in1k,376245,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,9177562,<100M,2022-12-12T23:56:20.000Z,2025-01-21T18:16:58.000Z
timm/edgenext_small.usi_in1k,361500,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2206.10589,5586832,<100M,2023-04-23T22:43:00.000Z,2025-01-21T18:05:08.000Z
timm/vit_tiny_r_s16_p8_224.augreg_in21k,312331,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,10360403,<100M,2022-12-23T00:34:23.000Z,2025-01-21T19:17:12.000Z
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,304724,7,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2103.14030,88104364,<100M,2023-03-18T04:04:29.000Z,2025-01-21T21:17:42.000Z
timm/vit_small_patch16_224.augreg_in21k_ft_in1k,299434,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,22050664,<100M,2022-12-22T07:54:03.000Z,2025-01-21T19:16:38.000Z
google/vit-large-patch16-224,287506,48,image-classification,Image Classification,transformers,"pytorch, transformers",apache-2.0,2010.11929,,Unknown,2022-03-02T23:29:05.000Z,2022-06-23T07:50:15.000Z
giacomoarienti/nsfw-classifier,232092,54,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",cc-by-nc-nd-4.0,,85802501,<100M,2023-09-05T12:19:30.000Z,2025-03-26T11:46:25.000Z
timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k,227358,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,5717416,<100M,2022-12-22T07:56:04.000Z,2025-01-21T19:16:52.000Z
timm/efficientnet_b3.ra2_in1k,225144,5,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,12320528,<100M,2022-12-12T23:56:39.000Z,2025-01-21T18:17:02.000Z
haywoodsloan/ai-image-detector-dev-deploy,222612,10,image-classification,Image Classification,transformers,"safetensors, transformers",,,195206006,100M-1B,2025-01-13T17:43:36.000Z,2025-06-16T20:32:39.000Z
facebook/convnextv2-tiny-1k-224,183075,6,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2301.00808,28635496,<100M,2023-02-17T14:03:53.000Z,2025-02-17T18:40:39.000Z
timm/convnext_base.fb_in22k_ft_in1k,182312,3,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,88591464,<100M,2022-12-13T07:07:23.000Z,2025-01-21T21:14:07.000Z
google/vit-base-patch16-384,169608,50,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2010.11929,86859496,<100M,2022-03-02T23:29:05.000Z,2023-09-11T20:46:00.000Z
optimum-intel-internal-testing/tiny-random-vit,166466,0,image-classification,Image Classification,transformers,"onnx, pytorch, safetensors, transformers",,1910.09700,41755,<100M,2025-10-21T10:07:49.000Z,2025-10-21T10:07:51.000Z
timm/swin_base_patch4_window12_384.ms_in22k_ft_in1k,164452,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2103.14030,90806624,<100M,2023-03-18T04:06:24.000Z,2025-01-21T21:17:49.000Z
timm/swin_tiny_patch4_window7_224.ms_in1k,163322,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2103.14030,28538058,<100M,2023-03-18T04:14:56.000Z,2025-01-21T21:18:13.000Z
timm/densenet121.ra_in1k,158362,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,8062504,<100M,2023-04-21T22:51:48.000Z,2025-01-21T18:04:42.000Z
ISxOdin/vit-base-oxford-iiit-pets,157382,1,image-classification,Image Classification,transformers,"safetensors, transformers",apache-2.0,,85827109,<100M,2025-04-01T15:21:11.000Z,2025-04-11T14:11:40.000Z
timm/tf_efficientnetv2_s.in21k,150047,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2104.00298,48312243,<100M,2022-12-13T00:18:57.000Z,2025-01-21T18:20:43.000Z
timm/resnet50.fb_swsl_ig1b_ft_in1k,148586,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",cc-by-nc-4.0,1905.00546,25610152,<100M,2023-04-05T18:12:55.000Z,2025-01-21T21:40:29.000Z
timm/convnext_tiny.fb_in22k_ft_in1k,146048,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,28589128,<100M,2022-12-13T07:15:09.000Z,2025-01-21T21:14:53.000Z
Marqo/nsfw-image-detection-384,143633,56,image-classification,Image Classification,timm,"safetensors, timm",apache-2.0,,5597762,<100M,2024-11-20T23:38:53.000Z,2024-11-27T23:13:33.000Z
timm/regnety_032.ra_in1k,142002,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2003.13678,19502498,<100M,2023-03-21T06:38:10.000Z,2025-01-21T21:21:22.000Z
timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k,139545,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2210.08402,88591464,<100M,2023-03-31T21:57:06.000Z,2025-01-21T21:37:45.000Z
timm/mobilenetv3_large_100.ra_in1k,138567,39,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,5507432,<100M,2022-12-16T05:38:07.000Z,2025-01-20T16:15:06.000Z
rizvandwiki/gender-classification-2,133971,39,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",,,85800194,<100M,2022-12-12T03:13:20.000Z,2023-05-18T11:17:43.000Z
Organika/sdxl-detector,130541,57,image-classification,Image Classification,transformers,"onnx, safetensors, transformers",cc-by-nc-3.0,,86802898,<100M,2023-12-31T04:54:35.000Z,2024-09-06T12:17:24.000Z
timm/deit_tiny_patch16_224.fb_in1k,129738,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2012.12877,5717416,<100M,2023-03-28T01:34:13.000Z,2025-01-21T21:36:46.000Z
timm/vit_base_patch16_224.augreg_in21k_ft_in1k,127440,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,86567656,<100M,2022-12-22T07:25:53.000Z,2025-01-21T19:14:38.000Z
timm/deit_small_patch16_224.fb_in1k,124845,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2012.12877,22050664,<100M,2023-03-28T01:33:38.000Z,2025-01-21T21:36:40.000Z
timm/beitv2_base_patch16_224.in1k_ft_in22k,119797,1,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2208.06366,103023421,100M-1B,2022-12-23T02:33:15.000Z,2025-01-21T19:17:37.000Z
timm/tf_mobilenetv3_large_minimal_100.in1k,119343,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1905.02244,3948688,<100M,2022-12-16T05:39:06.000Z,2025-01-21T18:21:25.000Z
timm/convnext_small.fb_in22k_ft_in1k_384,112842,1,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,50223688,<100M,2022-12-13T07:14:11.000Z,2025-01-21T21:14:46.000Z
timm/convnext_small.in12k_ft_in1k,108574,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,50223688,<100M,2023-01-11T22:35:59.000Z,2025-01-21T21:16:28.000Z
prithivMLmods/siglip2-x256-explicit-content,105035,16,image-classification,Image Classification,transformers,"safetensors, transformers",apache-2.0,2502.14786,92934149,<100M,2025-04-29T10:38:24.000Z,2025-04-30T08:34:30.000Z
timm/tf_efficientnet_b0.ns_jft_in1k,104334,3,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1905.11946,5330564,<100M,2022-12-13T00:01:33.000Z,2025-01-21T18:18:16.000Z
timm/resnet50d.ra2_in1k,101552,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,25629512,<100M,2023-04-05T18:18:03.000Z,2025-01-21T21:41:09.000Z
timm/densenet201.tv_in1k,101059,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,1608.06993,20242984,<100M,2023-04-21T22:54:45.000Z,2025-01-21T18:04:48.000Z
timm/convnextv2_tiny.fcmae_ft_in22k_in1k,100950,2,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",cc-by-nc-4.0,2301.00808,28635496,<100M,2023-01-05T01:56:47.000Z,2025-01-21T21:16:17.000Z
facebook/convnextv2-tiny-22k-224,99971,4,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2301.00808,28635496,<100M,2023-02-19T07:33:39.000Z,2025-02-17T18:43:28.000Z
timm/mobilenetv2_100.ra_in1k,98899,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,3538984,<100M,2022-12-13T00:00:26.000Z,2025-01-21T18:17:54.000Z
timm/convnext_base.fb_in22k_ft_in1k_384,88582,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2201.03545,88591464,<100M,2022-12-13T07:07:47.000Z,2025-01-21T21:14:10.000Z
timm/resnet18.fb_swsl_ig1b_ft_in1k,88109,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",cc-by-nc-4.0,1905.00546,11699112,<100M,2023-04-05T18:03:39.000Z,2025-01-21T21:39:03.000Z
microsoft/swin-base-patch4-window12-384-in22k,85451,3,image-classification,Image Classification,transformers,"pytorch, transformers",apache-2.0,2103.14030,,Unknown,2022-03-02T23:29:05.000Z,2022-05-16T18:01:06.000Z
nvidia/mit-b0,85136,40,image-classification,Image Classification,transformers,"pytorch, transformers",other,2105.15203,,Unknown,2022-03-02T23:29:05.000Z,2023-11-15T07:49:03.000Z
