job_title,city,salary_text,salary_min,salary_max,education,experience_text,exp_min,exp_max,company,industry,company_size,funding_stage,employment_type,skills,keyword,city_raw,source,scrape_date
AI工程师,杭州,14-18k,14000.0,18000.0,硕士,经验不限,0,20,台泥(杭州)环保科技有限公司,环保,100-499人,,,,AI工程师,,liepin,2026-07-22
全栈AI开发工程师(A211812),乌鲁木齐,12-20k,12000.0,20000.0,硕士,5-10年,5,10,昆仑数智,计算机软件,2000-5000人,,,,AI工程师,,liepin,2026-07-22
AI算法工程师(J15180),上海,20-30k,20000.0,30000.0,本科,5-10年,5,10,上汽大通汽车有限公司,整车制造,10000人以上,,,,AI工程师,,liepin,2026-07-22
应用人工智能工程师（Applied AI Engineer）,上海,40-70k,40000.0,70000.0,本科,经验不限,0,20,某知名公司,IT服务,100-499人,,,,AI工程师,,liepin,2026-07-22
Generative AI Engineer / 生成式AI工程师,上海,30-60k,30000.0,60000.0,本科,5-10年,5,10,某国内制药上市公司,生物技术,10000人以上,已上市,,,AI工程师,,liepin,2026-07-22
家居硬件 + AI工程师（Home Hardware + AI Engineer）,上海,28-35k·13薪,28000.0,35000.0,本科,3-5年,3,5,某深圳互联网公司,互联网,100-499人,,,,AI工程师,,liepin,2026-07-22
应用人工智能工程师（Applied AI Engineer）,上海,40-70k,40000.0,70000.0,硕士,2年以上,2,99,前玮科技(上海)有限公司,IT服务,100-499人,,,,AI工程师,,liepin,2026-07-22
资深 AI 工程师（Senior AI Engineer）,上海,60-80k,60000.0,80000.0,本科,10年以上,10,99,某专业技术服务公司,专业技术服务,100-499人,融资未公开,,,AI工程师,,liepin,2026-07-22
AI工程师 / Founding AI Engineer｜香港对冲基金｜可提供工作签证,香港,200-250k,200000.0,250000.0,不限,10年以上,10,99,某基金/证券/期货公司,基金/证券/期货,1-49人,,,,AI工程师,,liepin,2026-07-22
AI高级开发工程师,青岛,16-25k·14薪,16000.0,25000.0,硕士,2年以上,2,99,清原农冠,农/林/牧/渔,2000-5000人,,,,AI工程师,,liepin,2026-07-22
全栈 Forward Deployed AI Engineer 前置部署AI工程师,北京,35-55k·14薪,35000.0,55000.0,本科,5-10年,5,10,某北京科技推广服务公司,科技推广服务,50-99人,A轮,,,AI工程师,,liepin,2026-07-22
AI Software Engineer AI软件工程师 ID212826,北京,25-40k,25000.0,40000.0,本科,5-10年,5,10,梅赛德斯-奔驰,整车制造,10000人以上,,,,AI工程师,,liepin,2026-07-22
AI 软件工程师 Software Engineer AI,上海,20-40k·13薪,20000.0,40000.0,本科,3-5年,3,5,莱茵技术,检测/认证,2000-5000人,,,,AI工程师,,liepin,2026-07-22
AI应用工程师/Applied AI Engineer,上海,25-50k,25000.0,50000.0,本科,5年以上,5,99,某知名公司,IT服务,100-499人,,,,AI工程师,,liepin,2026-07-22
高级数字IC设计工程师（AI芯片）(J10512),深圳,35-65k·15薪,35000.0,65000.0,硕士,5-10年,5,10,清微智能,电子/半导体/集成电路,500-999人,C轮,,,AI工程师,,liepin,2026-07-22
应用AI人工智能工程师,北京,100-150k,100000.0,150000.0,本科,5-10年,5,10,某北京咨询服务公司,人力资源服务,100-499人,,,,AI工程师,,liepin,2026-07-22
资深 AI 应用工程师 Staff AI Engineer,深圳,30-60k,30000.0,60000.0,本科,5-10年,5,10,Clare.AI Limited,计算机软件,100-499人,,,,AI工程师,,liepin,2026-07-22
AI 算法高级工程师 Senior AI Engineer  -- （AI 多智能体开发),杭州,25-35k,25000.0,35000.0,硕士,3年以上,3,99,杭州万悉科技有限公司,人工智能,1-49人,,,,AI工程师,,liepin,2026-07-22
AI芯片编译器开发工程师(J10600),深圳,35-65k·15薪,35000.0,65000.0,本科,3年以上,3,99,清微智能,电子/半导体/集成电路,500-999人,C轮,,,AI工程师,,liepin,2026-07-22
AI全栈开发工程师,上海,50-80k,50000.0,80000.0,本科,5-8年,5,8,上海科技大学,培训服务,吴女士·招聘负责人,,,,AI工程师,,liepin,2026-07-22
AI应用工程师/Applied AI Engineer,北京,20-40k,20000.0,40000.0,本科,3年以上,3,99,某知名公司,IT服务,100-499人,,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师,青岛,30-50k,30000.0,50000.0,本科,3年以上,3,99,青岛华晟,电气机械/器材,张女士·人事行政主管,,,,AI工程师,,liepin,2026-07-22
ai人工智能工程师,台州,10-15k,10000.0,15000.0,本科,3-5年,3,5,浙江德斯泰新材料股份有限公司,金属制品,500-999人,B轮,,,AI工程师,,liepin,2026-07-22
AI应用开发工程师（Applied AI Engineer）,上海,25-50k,25000.0,50000.0,本科,经验不限,0,20,某上海IT服务公司,IT服务,100-499人,,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师,天津,15-25k,15000.0,25000.0,大专,2年以上,2,99,南油服务,石化,10000人以上,,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师（初级）,深圳,薪资面议,,,本科,2年以下,,,深圳指数科技,人工智能,50-99人,A轮,,,AI工程师,,liepin,2026-07-22
Ai人工智能工程师,海口,12-18k,12000.0,18000.0,本科,1-3年,1,3,聪动力集团,人工智能,500-999人,不需要融资,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师,深圳,10-20k·13薪,10000.0,20000.0,本科,1-3年,1,3,奥流(深圳)科技有限公司,计算机软件,1-49人,,,,AI工程师,,liepin,2026-07-22
人工智能AI工程师,长沙,10-20k,10000.0,20000.0,本科,1-3年,1,3,长沙迪普智能科技有限公司,计算机软件,廖女士·人事,,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师,成都,薪资面议,,,本科,1-3年,1,3,北京大学成都前沿交叉生物技术研究院,生物技术,100-499人,,,,AI工程师,,liepin,2026-07-22
AI人工智能工程师,长沙,10-15k·13薪,10000.0,15000.0,本科,1-3年,1,3,奥流(深圳)科技有限公司,计算机软件,1-49人,,,,AI工程师,,liepin,2026-07-22
机器人AI人工智能工程师,福州,10-20k,10000.0,20000.0,本科,经验不限,0,20,福建中科睿泰机器人有限公司,互联网,1-49人,战略融资,,,AI工程师,,liepin,2026-07-22
高级AI Agent算法工程师 Senior AI Engineer (AI 多智能体开发｜有机会享有150万房补),杭州,25-40k,25000.0,40000.0,硕士,3年以上,3,99,杭州万悉科技有限公司,人工智能,1-49人,,,,AI工程师,,liepin,2026-07-22
高级AI Agent算法工程师 Senior AI Engineer (AI 多智能体开发),杭州,25-55k,25000.0,55000.0,硕士,3年以上,3,99,杭州万悉科技有限公司,人工智能,1-49人,,,,AI工程师,,liepin,2026-07-22
AI Platform Engineer AI平台工程师 ID212827,北京,25-40k,25000.0,40000.0,本科,5-10年,5,10,梅赛德斯-奔驰,整车制造,10000人以上,,,,AI工程师,,liepin,2026-07-22
AI应用工程师/AI Application Engineer (MJ000461),上海,薪资面议,,,本科,3-5年,3,5,加特兰微电子科技,电子/半导体/集成电路,陆女士·人事专员,,,,AI工程师,,liepin,2026-07-22
AI工具工程师（AI Tooling Engineer）,上海,25-35k·13薪,25000.0,35000.0,本科,3-5年,3,5,新播思技术(北京)有限公司,通信设备,50-99人,,,,AI工程师,,liepin,2026-07-22
AI 研究工程师（AI Research Engineer）,北京,30-60k·13薪,30000.0,60000.0,硕士,1-3年,1,3,拓德(武汉)软件有限公司,计算机软件,5000-10000人,,,搜索,AI工程师,,liepin,2026-07-22
AI人工智能算法工程师,上海,24-50k·15薪,24000.0,50000.0,本科,2年以上,2,99,玄宇医疗,医疗器械,100-499人,A轮,,,AI工程师,,liepin,2026-07-22
AI-TCAD工程师 I AI-TCAD Engineer(J17442),合肥,15-40k·15薪,15000.0,40000.0,硕士,1-3年,1,3,长鑫存储技术有限公司,电子/半导体/集成电路,2000-5000人,,,,AI工程师,,liepin,2026-07-22
芯片AI算法工程师-Chip AI Algorithm Engineer(J19467),北京,35-65k·14薪,35000.0,65000.0,硕士,3-5年,3,5,长鑫存储技术有限公司,电子/半导体/集成电路,2000-5000人,,,,AI工程师,,liepin,2026-07-22
芯片AI算法工程师-Chip AI Algorithm Engineer(J19467),上海,35-65k·14薪,35000.0,65000.0,硕士,3-5年,3,5,长鑫存储技术有限公司,电子/半导体/集成电路,2000-5000人,,,,AI工程师,,liepin,2026-07-22
芯片AI算法工程师-Chip AI Algorithm Engineer(J19467),合肥,35-65k·14薪,35000.0,65000.0,硕士,3-5年,3,5,长鑫存储技术有限公司,电子/半导体/集成电路,2000-5000人,,,,AI工程师,,liepin,2026-07-22
AI Infrastructure Engineer (AI架构工程师）,香港,薪资面议,,,本科,3-5年,3,5,中国移动国际有限公司,通信设备,1000-2000人,,,,AI工程师,,liepin,2026-07-22
AI数据工程师 (AI Data Engineer),上海,20-40k,20000.0,40000.0,本科,经验不限,0,20,映恩生物科技(上海)有限公司,制药,孙女士·人力资源总监,,,,AI工程师,,liepin,2026-07-22
AI算法工程师（质量）|AI AIgorithm Engineer(J18486),合肥,25-35k,25000.0,35000.0,硕士,5年以上,5,99,长鑫存储技术有限公司,电子/半导体/集成电路,2000-5000人,,,,AI工程师,,liepin,2026-07-22
